label,precision,recall,f1-score,support
DOMAIN,1.0,0.5,0.6666666666666666,8
EMAIL,0.75,1.0,0.8571428571428571,3
FILEPATH,0.75,0.9818181818181818,0.8503937007874016,55
IPV4,0.8,0.8888888888888888,0.8421052631578947,9
Infrastucture,1.0,0.2222222222222222,0.36363636363636365,9
MD5,0.0,0.0,0.0,3
REGISTRYKEY,0.6,1.0,0.75,3
SHA1,0.7142857142857143,0.29411764705882354,0.4166666666666667,17
SHA2,0.6041666666666666,0.90625,0.725,32
SOFTWARE,0.8541666666666666,0.9070796460176991,0.8798283261802575,226
TIME,0.8444444444444444,0.8351648351648352,0.8397790055248618,91
URL,0.6923076923076923,0.9473684210526315,0.8,19
attack-pattern,0.7718631178707225,0.8458333333333333,0.8071570576540755,240
campaign,1.0,0.56,0.717948717948718,25
identity,0.8878923766816144,0.88,0.8839285714285714,225
location,0.7568807339449541,0.6066176470588235,0.673469387755102,272
malware,0.824390243902439,0.9159891598915989,0.8677792041078306,369
threat-actor,0.8105263157894737,0.88,0.8438356164383561,175
tools,0.9142857142857143,0.4266666666666667,0.5818181818181818,75
vulnerability,0.8125,0.7027027027027027,0.7536231884057971,37
